h3_index,total_records,unique_customers,total_count,total_sum,avg_transaction,min_transaction,max_transaction,avg_std,total_distinct_transactions,unique_mcc,unique_time_buckets,sum_per_customer,transactions_per_customer,records_per_customer,atm_active_customers,atm_activity_records,atm_activity,vtb_atm_count,vtb_office_count,metro_count,competitor_atm_count,mall_count,university_count
8911819404fffff,3,3,3,3845.0,1281.6666666666667,835.0,1800.0,,3,1,2,1281.6666666666667,1.0,1.0,0,0,0,0,0,0,0,0,0
89118194063ffff,2,2,2,1501.3,750.65,433.0,1068.3,,2,1,2,750.65,1.0,1.0,0,0,0,0,0,0,0,0,0
89118194067ffff,2,2,2,3901.0,1950.5,401.0,3500.0,,2,1,2,1950.5,1.0,1.0,0,0,0,0,0,0,0,0,0
8911819406bffff,37,25,143,85103.06999999999,707.3090282308109,22.32,4366.76,319.7959280173808,51,1,3,3404.1227999999996,5.72,1.48,0,0,0,0,0,0,0,0,0
8911819407bffff,132,70,314,278752.3,891.7834049985606,20.0,13300.0,618.616025584512,178,6,4,3982.175714285714,4.485714285714286,1.8857142857142857,0,0,0,0,0,0,0,0,0
891181940a3ffff,138,94,423,371180.16,852.1406890244928,4.0,9763.78,507.9555997670504,191,1,3,3948.7251063829785,4.5,1.4680851063829787,0,0,0,0,0,0,0,0,0
891181940afffff,136,84,291,385598.35,1199.8982069911765,25.0,6975.71,703.0348472813475,174,2,3,4590.456547619047,3.4642857142857144,1.619047619047619,0,0,0,0,0,0,0,0,0
8911819410fffff,7,7,11,26000.0,2475.4761904757142,440.0,7000.0,200.7357494775347,7,2,2,3714.285714285714,1.5714285714285714,1.0,0,0,0,0,0,0,0,0,0
89118194223ffff,45,32,73,39963.36,650.7312380953334,50.0,3900.0,334.300868292971,45,3,3,1248.855,2.28125,1.40625,0,0,0,0,0,0,0,0,0
89118194227ffff,402,149,1111,641591.89,627.107093826194,8.49,14695.0,384.36645276667355,657,6,4,4305.985838926174,7.456375838926174,2.697986577181208,0,0,0,0,0,0,0,0,0
8911819422fffff,147,82,226,165915.76,739.8483299320409,42.0,10480.0,289.13708174461993,152,6,4,2023.3629268292684,2.7560975609756095,1.7926829268292683,0,0,0,0,0,0,0,0,0
89118194237ffff,1,1,2,300.0,150.0,150.0,150.0,0.0,1,1,1,300.0,2.0,1.0,0,0,0,0,0,0,0,0,0
8911819429bffff,39,32,71,106934.81999999999,1248.1386752135897,42.99,7313.23,537.7949191868403,43,1,3,3341.7131249999998,2.21875,1.21875,0,0,0,0,0,0,0,0,0
891181942b7ffff,74,62,106,49995.0,480.18693693702704,150.0,2090.0,171.25813033774685,74,1,3,806.3709677419355,1.7096774193548387,1.1935483870967742,0,0,0,0,0,0,0,0,0
8911819434bffff,213,80,995,590477.75,717.2107371616902,5.0,8000.92,445.20145932381416,441,8,4,7380.971875,12.4375,2.6625,0,0,0,0,0,0,0,0,0
8911819437bffff,28,18,58,23092.0,501.25613553107144,40.0,1844.0,117.62646008832309,30,1,3,1282.888888888889,3.2222222222222223,1.5555555555555556,0,0,0,0,0,0,0,0,0
891181943dbffff,16,10,20,16725.3,841.63125,139.0,2623.1,361.26085450820716,16,2,3,1672.53,2.0,1.6,0,0,0,0,0,0,0,0,0
89118194427ffff,5,5,15,1825.0,173.5,25.0,720.0,161.75067619642275,5,3,2,365.0,3.0,1.0,0,0,0,0,0,0,0,0,0
89118194437ffff,15,14,27,8819.0,426.73333333333335,24.0,2461.6,247.66944023348222,18,1,3,629.9285714285714,1.9285714285714286,1.0714285714285714,0,0,0,0,0,0,0,0,0
89118194463ffff,81,64,122,71852.58,733.646131687284,5.0,22700.0,282.69662497992914,82,8,4,1122.6965625,1.90625,1.265625,0,0,0,0,0,0,0,0,0
8911819456fffff,129,86,338,353834.23,939.3022118325581,6.66,6023.5,610.2062610724205,168,2,4,4114.351511627907,3.9302325581395348,1.5,0,0,0,0,0,0,0,0,0
8911819466fffff,19,17,22,195945.04,10211.005,99.99,166525.0,607.0205303547996,20,2,4,11526.178823529412,1.2941176470588236,1.1176470588235294,0,0,0,0,0,0,0,0,0
891181948a3ffff,28,16,112,42419.200000000004,433.6280586732143,41.9,1820.15,186.37852110298633,47,1,3,2651.2000000000003,7.0,1.75,0,0,0,0,0,0,0,0,0
891181948afffff,11,5,42,16359.0,376.96590909090907,5.0,1486.0,195.00392957035876,12,2,3,3271.8,8.4,2.2,0,0,0,0,0,0,0,0,0
891181948b7ffff,7,5,11,5450.0,564.2857142857143,100.0,2200.0,211.80433261613814,7,1,2,1090.0,2.2,1.4,0,0,0,0,0,0,0,0,0
891181949c3ffff,8,8,8,8042.99,1005.37375,324.0,1750.0,,8,1,3,1005.37375,1.0,1.0,0,0,0,0,0,0,0,0,0
89118194a07ffff,17,13,21,26956.090000000004,1119.2370588235294,330.0,3002.03,17.189676772630495,17,1,4,2073.545384615385,1.6153846153846154,1.3076923076923077,0,0,0,0,0,0,0,0,0
89118194c0bffff,19,14,34,9027.0,259.46140350894734,50.0,2206.0,356.4919494712573,19,1,3,644.7857142857143,2.4285714285714284,1.3571428571428572,0,0,0,0,0,0,0,0,0
89118194c53ffff,7,6,16,222942.0,29710.38095238143,240.0,198193.0,944.411605233212,7,2,4,37157.0,2.6666666666666665,1.1666666666666667,0,0,0,0,0,0,0,0,0
89118194d77ffff,5,5,5,220.0,44.0,20.0,75.0,,5,1,3,44.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911819512bffff,23,20,148,13793.0,240.54347826086956,50.0,1430.0,15.307526998174692,23,2,3,689.65,7.4,1.15,0,0,0,0,0,0,0,0,0
89118195133ffff,168,129,344,294470.0,1530.4133597882737,50.0,15100.0,76.16577518075492,170,2,3,2282.7131782945735,2.6666666666666665,1.302325581395349,20,20,1,0,0,0,0,0,0
8911819513bffff,55,33,409,104856.85,269.27536466890905,20.0,917.0,107.56145299178174,83,3,3,3177.4803030303033,12.393939393939394,1.6666666666666667,20,20,1,0,0,0,0,0,0
891181954b3ffff,8,8,9,20070.0,1980.0,160.0,6770.0,3592.1024484276613,8,1,2,2508.75,1.125,1.0,0,0,0,0,0,0,0,0,0
891181954dbffff,36,33,69,21855.0,340.91203703722226,80.0,1010.0,150.68453225323898,36,1,4,662.2727272727273,2.090909090909091,1.0909090909090908,0,0,0,0,0,0,0,0,0
891181955cfffff,3,3,3,600.0,200.0,60.0,420.0,,3,1,1,200.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911819588fffff,18,14,25,5548.0,215.68148148166668,30.0,510.0,76.57917087724059,18,2,3,396.2857142857143,1.7857142857142858,1.2857142857142858,0,0,0,0,0,0,0,0,0
8911819589bffff,21,15,35,22502.0,671.4666666666666,80.0,3200.0,475.7737351915931,21,1,3,1500.1333333333334,2.3333333333333335,1.4,0,0,0,0,0,0,0,0,0
8911819593bffff,24,23,31,17401.92,537.9668055554167,99.98,2396.45,541.3445908946385,26,1,3,756.6052173913042,1.3478260869565217,1.0434782608695652,0,0,0,0,0,0,0,0,0
89118195a23ffff,90,69,231,294039.01,1336.792587187,0.97,14336.9,891.1511841065156,132,1,3,4261.434927536232,3.347826086956522,1.3043478260869565,0,0,0,0,0,0,0,0,0
89118195c23ffff,33,23,79,51762.0,1012.0316498315151,67.0,17900.0,149.91380216761772,33,3,4,2250.521739130435,3.4347826086956523,1.434782608695652,0,0,0,0,0,0,0,0,0
89118195c33ffff,77,52,254,167722.92,734.80156371,7.99,3696.95,466.7853311481132,100,2,4,3225.4407692307695,4.884615384615385,1.4807692307692308,0,0,0,0,0,0,0,0,0
89118195c67ffff,18,14,58,37182.0,725.1976372922222,60.0,2400.0,339.66385929345375,18,2,3,2655.8571428571427,4.142857142857143,1.2857142857142858,0,0,0,0,0,0,0,0,0
89118195c83ffff,127,54,598,559729.39,1025.1013437992126,5.9,9136.13,570.8855816878659,261,2,3,10365.359074074075,11.074074074074074,2.3518518518518516,0,0,0,0,0,0,0,0,0
89118195c87ffff,28,24,33,21753.3,661.0776785714286,50.0,2550.0,311.6573138079708,28,2,3,906.3874999999999,1.375,1.1666666666666667,0,0,0,0,0,0,0,0,0
89118195c8bffff,17,11,70,7000.0,100.0,100.0,100.0,0.0,17,1,3,636.3636363636364,6.363636363636363,1.5454545454545454,0,0,0,0,0,0,0,0,0
89118195c97ffff,40,25,188,96357.04,683.04046797675,8.49,3080.53,315.99442114468076,59,2,3,3854.2816,7.52,1.6,0,0,0,0,0,0,0,0,0
89118195cbbffff,21,11,31,74862.8,2733.901587301905,30.0,32480.0,128.866787056347,21,6,3,6805.709090909091,2.8181818181818183,1.9090909090909092,0,0,0,0,0,0,0,0,0
89118195cd7ffff,6,6,16,14960.0,856.5740740733332,120.0,1460.0,405.81787596872186,6,1,2,2493.3333333333335,2.6666666666666665,1.0,0,0,0,0,0,0,0,0,0
89118195d87ffff,2,1,2,7520.0,3760.0,500.0,7020.0,,2,1,2,7520.0,2.0,2.0,0,0,0,0,0,0,0,0,0
89118195d93ffff,6,5,24,7043.0,327.9583333333333,30.0,530.0,79.5121845981541,6,1,3,1408.6,4.8,1.2,0,0,0,0,0,0,0,0,0
89118196253ffff,14,11,28,21060.0,585.4326530614286,30.0,2598.0,771.141355638546,14,1,3,1914.5454545454545,2.5454545454545454,1.2727272727272727,0,0,0,0,0,0,0,0,0
891181962c7ffff,27,19,50,30964.0,694.9558641974074,65.0,2150.0,327.3574311380338,27,2,4,1629.6842105263158,2.6315789473684212,1.4210526315789473,0,0,0,0,0,0,0,0,0
8911819663bffff,12,6,25,14571.0,499.15555555583336,25.0,1765.0,357.01318124201697,13,3,3,2428.5,4.166666666666667,2.0,0,0,0,0,0,0,0,0,0
891181969afffff,6,6,7,2709.55,439.425,49.0,936.05,33.94112549695428,6,1,1,451.5916666666667,1.1666666666666667,1.0,0,0,0,0,0,0,0,0,0
891181969d7ffff,1,1,1,686.0,686.0,686.0,686.0,,1,1,1,686.0,1.0,1.0,0,0,0,0,0,0,0,0,0
89118196bafffff,2,2,4,400.0,100.0,100.0,100.0,0.0,2,1,2,200.0,2.0,1.0,0,0,0,0,0,0,0,0,0
89118196d6bffff,11,7,22,50020.020000000004,1605.9109090909092,60.0,4950.0,572.830851287232,11,2,3,7145.717142857144,3.142857142857143,1.5714285714285714,0,0,0,0,0,0,0,0,0
8911819732bffff,1,1,1,80.0,80.0,80.0,80.0,,1,1,1,80.0,1.0,1.0,0,0,0,0,0,0,0,0,0
891181b0437ffff,206,155,458,283513.97,771.4616070508738,25.0,6441.68,346.1681226991084,244,6,3,1829.122387096774,2.9548387096774196,1.3290322580645162,0,0,0,0,0,0,0,0,0
891181b04a3ffff,53,39,149,51415.97,395.7428597935849,37.99,2141.82,257.98508690095895,63,3,3,1318.358205128205,3.8205128205128207,1.358974358974359,0,0,0,0,0,0,0,0,0
891181b04abffff,2,2,2,8300.0,4150.0,2500.0,5800.0,,2,1,1,4150.0,1.0,1.0,0,0,0,0,0,0,0,0,0
891181b0553ffff,23,15,33,20686.94,607.8804347826087,59.0,2162.08,385.1049687070703,23,2,3,1379.1293333333333,2.2,1.5333333333333334,0,0,0,0,0,0,0,0,0
891181b055bffff,9,6,15,4843.34,394.20370370333336,39.99,1166.66,125.67038830145334,11,1,2,807.2233333333334,2.5,1.5,0,0,0,0,0,0,0,0,0
891181b0d13ffff,121,99,190,249246.49,1475.8629795563636,29.0,20843.92,539.5332359585766,147,1,4,2517.641313131313,1.9191919191919191,1.2222222222222223,0,0,0,0,0,0,0,0,0
891181b0dbbffff,315,275,428,586408.59,1376.825714588127,16.0,19217.87,414.03010404186665,348,3,4,2132.3948727272727,1.5563636363636364,1.1454545454545455,0,0,0,0,0,0,0,0,0
891181b2123ffff,6,4,12,2218.0,215.095238095,71.0,530.0,111.8285251964768,6,1,3,554.5,3.0,1.5,0,0,0,0,0,0,0,0,0
891181b2127ffff,1,1,1,289.0,289.0,289.0,289.0,,1,1,1,289.0,1.0,1.0,0,0,0,0,0,0,0,0,0
891181b212bffff,4,4,4,554.31,138.5775,40.0,283.31,,4,1,2,138.5775,1.0,1.0,0,0,0,0,0,0,0,0,0
891181b212fffff,146,90,330,255420.5,854.5051508617123,3.99,14476.0,446.49405193853977,180,8,3,2838.0055555555555,3.6666666666666665,1.6222222222222222,0,0,0,0,0,0,0,0,0
891181b213bffff,36,25,57,46613.42,851.5816402116667,20.0,5000.0,271.2180971366558,38,4,3,1864.5367999999999,2.28,1.44,0,0,0,0,0,0,0,0,0
891181b2147ffff,6,4,7,4242.53,611.3683333333333,49.99,2190.25,741.5145971590849,6,1,3,1060.6325,1.75,1.5,0,0,0,0,0,0,0,0,0
891181b217bffff,24,19,59,67694.5,1727.8768939395832,20.0,8822.0,584.2882422792275,24,4,3,3562.8684210526317,3.1052631578947367,1.263157894736842,0,0,0,0,0,0,0,0,0
891181b232bffff,1,1,1,1250.0,1250.0,1250.0,1250.0,,1,1,1,1250.0,1.0,1.0,0,0,0,0,0,0,0,0,0
891181b2363ffff,24,16,112,43822.28,445.52913654,19.99,1786.6,282.4740446131937,33,1,3,2738.8925,7.0,1.5,0,0,0,0,0,0,0,0,0
891181b2377ffff,20,14,72,54896.69,815.660257026,17.99,2902.46,399.47633880953606,31,1,3,3921.192142857143,5.142857142857143,1.4285714285714286,0,0,0,0,0,0,0,0,0
891181b2577ffff,1,1,2,720.0,360.0,250.0,470.0,155.56349186104046,1,1,1,720.0,2.0,1.0,0,0,0,0,0,0,0,0,0
891181b2807ffff,66,42,132,84050.21,586.5391269837878,9.03,3117.42,463.689476821905,82,3,3,2001.1954761904763,3.142857142857143,1.5714285714285714,0,0,0,0,0,0,0,0,0
891181b280bffff,170,129,308,361843.94,1728.8907910282353,27.54,77499.0,882.8858398070361,198,3,3,2804.9917829457363,2.387596899224806,1.317829457364341,0,0,0,0,0,0,0,0,0
891181b280fffff,92,68,426,397509.48,2320.6892955172825,14.99,81545.0,404.2913060138343,136,4,3,5845.727647058823,6.264705882352941,1.3529411764705883,0,0,0,0,0,0,0,0,0
891181b2817ffff,102,68,506,246123.68,636.4665511140196,3.48,5216.0,331.6801772280756,153,4,3,3619.465882352941,7.4411764705882355,1.5,0,0,0,0,0,0,0,0,0
891181b2823ffff,9,5,36,6278.5599999999995,206.74572839555557,52.0,718.0,85.69902485316436,9,1,3,1255.712,7.2,1.8,0,0,0,0,0,0,0,0,0
891181b2827ffff,508,194,1735,1159351.54,707.3363049292519,5.4,8100.0,414.426927796768,888,12,3,5976.038865979382,8.943298969072165,2.618556701030928,58,58,1,0,0,0,0,1,0
891181b282bffff,151,108,467,264467.47,549.7787621060265,5.7,7350.0,223.0179958020908,188,4,4,2448.77287037037,4.324074074074074,1.3981481481481481,0,0,0,0,0,0,0,0,0
891181b282fffff,77,61,233,46162.6,278.28316726571427,30.0,4000.0,70.91191086591658,91,2,3,756.7639344262295,3.819672131147541,1.2622950819672132,0,0,0,0,0,0,0,0,0
891181b283bffff,49,33,71,45022.48,641.994387754898,30.0,4187.8,524.9323830732242,49,2,3,1364.317575757576,2.1515151515151514,1.4848484848484849,0,0,0,0,0,0,0,0,0
891181b2847ffff,6,6,6,3771.0,628.5,124.0,1131.0,,6,1,2,628.5,1.0,1.0,0,0,0,0,0,0,0,0,0
891181b2857ffff,10,7,53,10900.0,204.19047619,50.0,870.0,152.03671005759276,11,1,3,1557.142857142857,7.571428571428571,1.4285714285714286,0,0,0,0,0,0,0,0,0
891181b2867ffff,140,74,521,238482.69,460.6451827852857,5.99,3265.46,247.99858405682366,239,1,3,3222.739054054054,7.04054054054054,1.8918918918918919,0,0,0,0,0,0,0,0,0
891181b2873ffff,14,8,26,15316.619999999999,670.9523809521428,60.0,2256.2,260.43804906983394,14,1,3,1914.5774999999999,3.25,1.75,0,0,0,0,0,0,0,0,0
891181b287bffff,124,77,421,106023.7,377.2441388953226,15.0,2540.0,186.23027817836905,173,1,4,1376.9311688311689,5.467532467532467,1.6103896103896105,0,0,0,0,0,0,0,0,0
891181b2887ffff,159,83,663,410889.78,652.5305116715723,7.99,5410.0,439.0826891102026,309,3,4,4950.479277108434,7.9879518072289155,1.9156626506024097,0,0,0,0,0,0,0,0,0
891181b28a3ffff,58,38,122,50104.37,473.39958824068964,62.0,1697.74,114.78979366573496,58,1,3,1318.536052631579,3.210526315789474,1.5263157894736843,0,0,0,0,0,0,0,0,0
891181b28abffff,47,41,96,86065.7,917.8723404255319,30.0,30000.0,414.645818891252,50,6,4,2099.163414634146,2.341463414634146,1.146341463414634,0,0,0,0,0,0,0,0,0
891181b28b3ffff,394,138,1157,536351.49,548.3150512354061,3.99,6324.96,304.1772108771421,526,4,3,3886.605,8.384057971014492,2.8550724637681157,0,0,0,0,0,0,0,0,0
891181b28b7ffff,107,94,191,211896.0,1330.6771250557008,200.0,20700.0,623.5451787130626,109,1,3,2254.2127659574467,2.0319148936170213,1.1382978723404256,0,0,0,0,0,0,0,0,0
891181b28bbffff,355,121,1425,782785.07,594.1401690390986,6.99,7422.0,349.4998375924744,778,7,3,6469.298099173553,11.776859504132231,2.9338842975206614,0,0,0,0,0,0,0,0,0
891181b2903ffff,89,61,310,143814.16,1092.6637285299998,19.89,58300.0,197.7486806374202,116,7,3,2357.609180327869,5.081967213114754,1.459016393442623,0,0,0,0,0,0,0,0,0
891181b290bffff,271,147,822,438223.75,563.9907516078229,9.0,10070.0,269.8437442060634,367,7,4,2981.1139455782313,5.591836734693878,1.8435374149659864,0,0,0,0,0,0,0,0,0
891181b290fffff,244,91,1335,574514.3,576.050799725,3.99,8600.0,319.7215495735234,458,4,4,6313.3439560439565,14.67032967032967,2.681318681318681,0,0,0,0,0,0,0,0,0
891181b2913ffff,47,33,113,33320.0,305.1504559272341,50.0,600.0,73.67966804708111,47,1,2,1009.6969696969697,3.4242424242424243,1.4242424242424243,0,0,0,0,0,0,0,0,1
